insurance_id,payer_name,payer_type
INS-H42CGQ,"Thomas, Blake and Harding",Insurance
INS-R8GV3E,"Anderson, Oconnell and Yates",Insurance
INS-NOREG134,Flores-Allen,Insurance
INS-5CG3MF,"Lopez, Johnson and Myers",Government
INS-GTB0TL,,Government
INS-0PRV2W,,Insurance
INS-6USEY0,Merritt-Flynn,Insurance
INS-AJ3VD5,Martinez-Burnett,Insurance
INS-8IIR8V,"Smith, Cole and Rodgers",Insurance
INS-R2TZ1T,"Anderson, Oconnell and Yates",Insurance
INS-FGDT1T,Walsh-Thomas,Insurance
INS-HF6NEG,,Government
INS-N7J0CJ,,Insurance
INS-NOREG135,"Richard, Floyd and Villanueva",Insurance
INS-NOREG136,Fowler-Smith,Government
INS-R3OW79,,Government
INS-4JCLNP,Brooks-Johnson,Government
INS-2QP6VE,Flores-Allen,Government
INS-UDGADX,Gonzalez Group,Insurance
INS-B98N8W,Martinez-Burnett,Insurance
INS-UG1KID,Robbins Ltd,Government
INS-NOREG137,Brooks-Johnson,Government
INS-DV0HVF,Brooks-Johnson,Government
INS-IK41VE,"Smith, Cole and Rodgers",Government
INS-NOREG138,,Self-pay
INS-S45XH7,,Government
INS-96GD6Q,"Smith, Cole and Rodgers",Government
INS-XMGXDC,Merritt-Flynn,Government
INS-3IOCA2,"Thomas, Blake and Harding",Government
INS-3YF161,Gonzalez Group,Insurance
INS-Z2Z51Q,Wood Inc,Government
INS-49K9W2,Wood Inc,Government
INS-DR9OMS,Peterson-Williams,Insurance
INS-SNJL98,Merritt-Flynn,Insurance
INS-H9XKT7,"Lopez, Johnson and Myers",Insurance
INS-EN6CL0,Day Group,Insurance
INS-GA27SC,Fowler-Smith,Government
INS-JFXIKX,,Insurance
INS-Y0F6FY,Walker-Bates,Insurance
INS-CAHSEM,Gonzalez Group,Government
INS-Q6G11D,Day Group,Government
INS-QKIYHQ,Robbins Ltd,Government
INS-EB81UG,,Insurance
INS-MVTT6M,Martinez-Burnett,Government
INS-7TF2LG,Fowler-Smith,Insurance
INS-O5ARHQ,Day Group,Government
INS-5F6WHQ,Walsh-Thomas,Government
INS-NOREG139,,Self-pay
INS-V2GDQQ,Jackson-Hubbard,Insurance
INS-4X60XV,Lee and Sons,Government
INS-HYYRCV,Brooks-Johnson,Government
INS-ABKCHY,"Sanchez, Shaffer and Watson",Insurance
INS-VZC0UX,"Lopez, Johnson and Myers",Government
INS-NOREG140,Lee and Sons,Government
INS-BVYK9E,"Richard, Floyd and Villanueva",Government
INS-TIQ69D,"Lopez, Johnson and Myers",Government
INS-E8V8AJ,Chang Inc,Government
INS-WUIZ9N,Fowler-Smith,Government
INS-7EGMF6,Chang Inc,Insurance
INS-PFHDC4,Shaw-Jacobs,Insurance
INS-LHIFLZ,"Lopez, Johnson and Myers",Government
INS-Y2C6JG,Day Group,Government
INS-KWDF83,Fowler-Smith,Insurance
INS-GTJPEZ,Brooks-Johnson,Government
INS-NV309B,Merritt-Flynn,Government
INS-OTML1Q,Day Group,Government
INS-BPU5E7,Robbins Ltd,Government
INS-NOREG141,Flores-Allen,Government
INS-X436A4,Flores-Allen,Insurance
INS-5NI79P,"Sanchez, Shaffer and Watson",Government
INS-JRWJCW,Merritt-Flynn,Government
INS-NOREG142,"Lopez, Johnson and Myers",Government
INS-NOREG143,,Self-pay
INS-SOMZGI,Walsh-Thomas,Insurance
INS-AHSCU5,Flores-Allen,Government
INS-EXL93L,Lee and Sons,Government
INS-S7D66O,Gonzalez Group,Insurance
INS-29BIVR,"Anderson, Oconnell and Yates",Insurance
INS-1E89SM,Day Group,Government
INS-DX8AYE,Brooks-Johnson,Insurance
INS-UBXUR5,Wood Inc,Government
INS-QT3E6S,Wood Inc,Government
INS-G4L7Y5,Lee and Sons,Insurance
INS-DCLLRH,Lee and Sons,Government
INS-E6O504,"Smith, Cole and Rodgers",Government
INS-MU7E80,Robbins Ltd,Government
INS-0RSK5R,Shaw-Jacobs,Insurance
INS-3UL2VQ,Day Group,Insurance
INS-E21SWE,Day Group,Insurance
INS-UL0GV5,,Insurance
INS-EQ4FYT,Wood Inc,Insurance
INS-DUOTZH,"Richard, Floyd and Villanueva",Insurance
INS-NOREG144,Martinez-Burnett,Government
INS-MZ3C8V,"Johnson, Mcintyre and Garrett",Government
INS-US3UUE,Flores-Allen,Insurance
INS-WNZCCI,Henson Group,Government
INS-TDLMFC,"Anderson, Oconnell and Yates",Insurance
INS-V0SEOE,"Andrade, Gilbert and Cook",Government
INS-FFX28F,"Thomas, Blake and Harding",Government
INS-CDUKO2,Flores-Allen,Insurance
INS-389XW9,Day Group,Insurance
INS-D0KWR3,Flores-Allen,Government
INS-5QBRCB,Henson Group,Insurance
INS-FH94J8,Shaw-Jacobs,Insurance
INS-UH24LI,Jackson-Hubbard,Government
INS-XY6EK1,"Johnson, Mcintyre and Garrett",Insurance
INS-PKK6G8,Jackson-Hubbard,Government
INS-NOREG145,,Self-pay
INS-7VLAE4,Robbins Ltd,Government
INS-G6OO9M,Walsh-Thomas,Government
INS-NOREG146,,Self-pay
INS-XM6T7N,Merritt-Flynn,Insurance
INS-YDA6UD,Martinez-Burnett,Government
INS-6RLGIK,Chang Inc,Government
INS-CNAJJ8,Gonzalez Group,Insurance
INS-AIKFEJ,Martinez-Burnett,Insurance
INS-PCHIYH,"Thomas, Blake and Harding",Insurance
INS-ESHDH0,Peterson-Williams,Insurance
INS-CRWLDN,Day Group,Insurance
INS-VT2YZ4,"Richard, Floyd and Villanueva",Insurance
INS-QTISXL,Walker-Bates,Insurance
INS-FW2G3L,Peterson-Williams,Government
INS-1WWOP5,"Anderson, Oconnell and Yates",Insurance
INS-NOREG147,,Self-pay
INS-NOREG148,,Government
INS-58B3ZV,Wood Inc,Insurance
INS-P9LUIA,Lee and Sons,Government
INS-RIHTRH,"Sanchez, Shaffer and Watson",Government
INS-AVWVQP,Fowler-Smith,Insurance
INS-T79BRE,"Smith, Cole and Rodgers",Insurance
INS-NOREG149,Robbins Ltd,Government
INS-NOREG150,,Self-pay
INS-G11Z1L,Robbins Ltd,Insurance
INS-TSSY8V,Martinez-Burnett,Insurance
INS-BMIHXQ,"Richard, Floyd and Villanueva",Government
INS-8H9Y4G,Merritt-Flynn,Government
INS-NOREG151,Fowler-Smith,Government
INS-JDXD0U,"Richard, Floyd and Villanueva",Insurance
INS-6DF9IW,"Andrade, Gilbert and Cook",Insurance
INS-NOREG152,"Thomas, Blake and Harding",Insurance
INS-1CGYSE,Peterson-Williams,Insurance
INS-NOREG153,Shaw-Jacobs,Government
INS-NOREG154,,Government
INS-7T1IZ5,"Sanchez, Shaffer and Watson",Government
INS-JH79BI,"Lopez, Johnson and Myers",Insurance
INS-NOREG155,,Government
INS-SRIDZH,Peterson-Williams,Government
INS-W37F5R,"Johnson, Mcintyre and Garrett",Government
INS-UF16Y2,Shaw-Jacobs,Government
INS-84OLLY,Brooks-Johnson,Government
INS-04Q0EI,Gonzalez Group,Government
INS-NOREG156,Gonzalez Group,Insurance
INS-YLN6NA,"Sanchez, Shaffer and Watson",Government
INS-11MR67,Jackson-Hubbard,Government
INS-JRGTRE,Flores-Allen,Government
INS-BIYA5C,Merritt-Flynn,Government
INS-NOREG157,"Lopez, Johnson and Myers",Insurance
INS-Y92O9I,"Sanchez, Shaffer and Watson",Government
INS-SZZ8IS,"Lopez, Johnson and Myers",Insurance
INS-AU1BD1,"Richard, Floyd and Villanueva",Insurance
INS-HTQUQ7,Jackson-Hubbard,Insurance
INS-Q555TY,Chang Inc,Government
INS-YMRF07,Robbins Ltd,Government
INS-YNQV5L,Jackson-Hubbard,Government
INS-U5NUHA,Walsh-Thomas,Insurance
INS-ECI4X3,Walsh-Thomas,Government
INS-2FS3UJ,Gonzalez Group,Government
INS-2Y9SGF,Wood Inc,Insurance
INS-45NLJ6,Brooks-Johnson,Government
INS-RBFJ9S,Jackson-Hubbard,Government
INS-XZ1QSY,Lee and Sons,Insurance
INS-NOREG158,,Self-pay
INS-H2NDLC,"Sanchez, Shaffer and Watson",Government
INS-YCI037,Flores-Allen,Insurance
INS-VGTUUH,Day Group,Insurance
INS-57A94S,"Andrade, Gilbert and Cook",Government
INS-OXIBVJ,Robbins Ltd,Insurance
INS-NOREG159,,Self-pay
INS-90JUF0,"Sanchez, Shaffer and Watson",Government
INS-38QMTM,Fowler-Smith,Government
INS-NOREG160,,Self-pay
INS-ZNC1D9,"Anderson, Oconnell and Yates",Insurance
INS-NOREG161,Peterson-Williams,Insurance
INS-XMO4PT,Martinez-Burnett,Insurance
INS-I3BI5Q,Walker-Bates,Government
INS-NOREG162,Robbins Ltd,Government
INS-2ZG3K5,Robbins Ltd,Insurance
INS-7U6OXK,Jackson-Hubbard,Government
INS-NOREG163,,Self-pay
INS-OE1XUX,"Thomas, Blake and Harding",Insurance
INS-GWIM82,Merritt-Flynn,Insurance
INS-LH7IRM,"Thomas, Blake and Harding",Insurance
INS-95NPHK,,Government
INS-L0VFKW,"Thomas, Blake and Harding",Government
INS-O0CWC1,Walsh-Thomas,Government
INS-H8CRWG,,Government
INS-CBPDIQ,Henson Group,Insurance
INS-ULJSZ8,Robbins Ltd,Insurance
INS-VHE36C,Robbins Ltd,Government
INS-NOREG164,"Sanchez, Shaffer and Watson",Government
INS-W1ZU4B,"Sanchez, Shaffer and Watson",Government
INS-51B4RS,Gonzalez Group,Government
INS-PKVCZS,"Smith, Cole and Rodgers",Insurance
INS-3LCHYY,"Sanchez, Shaffer and Watson",Government
INS-R757PB,Brooks-Johnson,Government
INS-NOREG165,"Johnson, Mcintyre and Garrett",Government
INS-X4UAOC,Henson Group,Government
INS-YTH2W1,"Richard, Floyd and Villanueva",Government
INS-33W8XB,"Andrade, Gilbert and Cook",Insurance
INS-P2RJAK,Day Group,Insurance
INS-1RO5ER,"Anderson, Oconnell and Yates",Insurance
INS-NOREG166,Walker-Bates,Insurance
INS-MYRYAL,"Anderson, Oconnell and Yates",Government
INS-D24RUD,"Andrade, Gilbert and Cook",Insurance
INS-0AB32S,Gonzalez Group,Insurance
INS-D6DM5E,Robbins Ltd,Government
INS-T03HE3,Shaw-Jacobs,Insurance
INS-ZFMDQE,"Sanchez, Shaffer and Watson",Insurance
INS-NOREG167,"Anderson, Oconnell and Yates",Government
INS-TOBHKS,Jackson-Hubbard,Insurance
INS-NOREG168,Gonzalez Group,Insurance
INS-HF9E4J,"Andrade, Gilbert and Cook",Government
INS-AH4AOO,"Richard, Floyd and Villanueva",Insurance
INS-9URDS1,Merritt-Flynn,Insurance
INS-RKWL2J,"Andrade, Gilbert and Cook",Government
INS-2E4TT9,"Anderson, Oconnell and Yates",Insurance
INS-OFP7H1,Lee and Sons,Insurance
INS-HH6S80,"Anderson, Oconnell and Yates",Government
INS-D3RIJ1,Lee and Sons,Government
INS-DTGOD9,Peterson-Williams,Government
INS-NOREG169,"Sanchez, Shaffer and Watson",Government
INS-PQ2WSB,"Smith, Cole and Rodgers",Government
INS-V04YNO,"Andrade, Gilbert and Cook",Insurance
INS-27ELGG,Walker-Bates,Insurance
INS-8CO48E,,Insurance
INS-MYDKHW,"Andrade, Gilbert and Cook",Government
INS-V7KEIV,Lee and Sons,Government
INS-617L8W,"Andrade, Gilbert and Cook",Government
INS-KXGDWP,Day Group,Government
INS-CQC3K4,"Lopez, Johnson and Myers",Insurance
INS-Y11YLK,"Thomas, Blake and Harding",Government
INS-DRYOA9,"Andrade, Gilbert and Cook",Government
INS-YDD2R4,Lee and Sons,Government
INS-WBC6FI,Peterson-Williams,Insurance
INS-NOREG170,"Richard, Floyd and Villanueva",Government
INS-MTQAOO,"Thomas, Blake and Harding",Insurance
INS-JYNKG9,"Johnson, Mcintyre and Garrett",Insurance
INS-AWAU63,Walsh-Thomas,Government
INS-8Y70YS,"Sanchez, Shaffer and Watson",Insurance
INS-DJYXR5,Fowler-Smith,Government
INS-JMT649,Jackson-Hubbard,Government
INS-RE1QN9,Robbins Ltd,Government
INS-BWVMWA,Peterson-Williams,Government
INS-VO0ILY,Walsh-Thomas,Government
INS-E1N0G6,Gonzalez Group,Government
INS-WD2B1P,,Government
INS-2DEY84,"Richard, Floyd and Villanueva",Government
INS-NOREG171,"Lopez, Johnson and Myers",Government
INS-3963S7,Jackson-Hubbard,Insurance
INS-NOREG172,Wood Inc,Insurance
INS-78EQX4,Martinez-Burnett,Government
INS-R2SHTU,Henson Group,Government
INS-BJPFZA,Day Group,Government
INS-JWGM32,Gonzalez Group,Insurance
INS-I6M17X,Peterson-Williams,Government
INS-XICXL4,Chang Inc,Insurance
INS-MWXS50,Henson Group,Government
INS-HMU00A,"Andrade, Gilbert and Cook",Government
INS-ZHOW9L,"Andrade, Gilbert and Cook",Government
INS-2LTPS4,Lee and Sons,Government
INS-XPYOQC,Fowler-Smith,Government
INS-R01GI8,Walker-Bates,Government
INS-AVHMHQ,"Andrade, Gilbert and Cook",Government
INS-AOR7CZ,Jackson-Hubbard,Insurance
INS-8X0N8E,Henson Group,Government
INS-NOREG173,"Smith, Cole and Rodgers",Government
INS-NOREG174,,Self-pay
INS-9C122K,"Thomas, Blake and Harding",Government
INS-PC1MXW,Flores-Allen,Insurance
INS-NOREG175,,Self-pay
INS-NOREG176,Henson Group,Insurance
INS-NOREG177,,Self-pay
INS-S0W0QT,Henson Group,Government
INS-ID144G,Walsh-Thomas,Government
INS-KEKY0E,Peterson-Williams,Government
INS-NOREG178,,Self-pay
INS-RLA8MM,Walsh-Thomas,Government
INS-KK4XKP,Brooks-Johnson,Insurance
INS-ANWOEI,"Johnson, Mcintyre and Garrett",Insurance
INS-NOREG179,Robbins Ltd,Government
INS-GN5YGW,Merritt-Flynn,Insurance
INS-MJ323K,"Lopez, Johnson and Myers",Government
INS-UZE541,Walker-Bates,Government
INS-G171UG,Flores-Allen,Insurance
INS-HF10XT,"Andrade, Gilbert and Cook",Insurance
INS-J56ANS,Wood Inc,Government
INS-4BXOQ2,Martinez-Burnett,Government
INS-TSX25C,Fowler-Smith,Insurance
INS-50WOJZ,Flores-Allen,Insurance
INS-6G2FTJ,Jackson-Hubbard,Insurance
INS-CQ0RSB,"Johnson, Mcintyre and Garrett",Insurance
INS-H3VCIF,Gonzalez Group,Insurance
INS-8FBV72,Chang Inc,Insurance
INS-B47KNC,"Andrade, Gilbert and Cook",Government
INS-YXNCQO,"Sanchez, Shaffer and Watson",Government
INS-8TXQKG,"Anderson, Oconnell and Yates",Insurance
INS-RJR6AL,Fowler-Smith,Government
INS-6UQ8A8,Brooks-Johnson,Government
INS-TAIWRQ,"Thomas, Blake and Harding",Government
INS-V5KP5Y,"Thomas, Blake and Harding",Government
INS-Z53F7B,Merritt-Flynn,Government
INS-16JKTQ,Peterson-Williams,Government
INS-GDPD8Y,"Smith, Cole and Rodgers",Government
INS-R8XP9B,Gonzalez Group,Government
INS-E00S4P,Wood Inc,Insurance
INS-6CPYEO,Peterson-Williams,Government
INS-B9JSKG,Walsh-Thomas,Government
INS-HVZXO4,Day Group,Government
INS-W9O8JN,"Thomas, Blake and Harding",Government
INS-E0R28U,"Andrade, Gilbert and Cook",Government
INS-647QR8,Jackson-Hubbard,Insurance
INS-ZML0C7,"Thomas, Blake and Harding",Insurance
INS-ENQF68,,Insurance
INS-2I2GSH,Fowler-Smith,Insurance
INS-1KPEGJ,Shaw-Jacobs,Insurance
INS-KMLTWU,Robbins Ltd,Insurance
INS-0GDHME,Day Group,Insurance
INS-NOWPXJ,Lee and Sons,Government
INS-B0BH6H,Peterson-Williams,Insurance
INS-IGDR7P,Wood Inc,Insurance
INS-PWTULO,Flores-Allen,Insurance
INS-NOREG180,,Self-pay
INS-V1Y047,Walker-Bates,Insurance
INS-KD7TFW,"Johnson, Mcintyre and Garrett",Government
INS-GKZRMB,,Government
INS-NW67BI,"Lopez, Johnson and Myers",Insurance
INS-7Q885O,"Sanchez, Shaffer and Watson",Insurance
INS-5L5SOS,"Sanchez, Shaffer and Watson",Government
INS-RQXCYT,Robbins Ltd,Government
INS-NOREG181,"Lopez, Johnson and Myers",Insurance
INS-S70AD4,Merritt-Flynn,Government
INS-KV3OB2,"Johnson, Mcintyre and Garrett",Government
INS-LIIJT0,"Smith, Cole and Rodgers",Government
INS-ODXO3T,"Anderson, Oconnell and Yates",Government
INS-UZBIU5,Flores-Allen,Insurance
INS-AMCZCT,Peterson-Williams,Insurance
INS-S1K3W2,"Andrade, Gilbert and Cook",Insurance
INS-7NVC22,Henson Group,Insurance
INS-NOREG182,,Insurance
INS-VZ8NQD,Peterson-Williams,Insurance
INS-N6R8ZX,Peterson-Williams,Government
INS-NOREG183,"Anderson, Oconnell and Yates",Government
INS-P0PJHF,Walsh-Thomas,Insurance
INS-HJSW5Q,"Andrade, Gilbert and Cook",Insurance
INS-S4UU3X,Robbins Ltd,Government
INS-G4VLUU,Wood Inc,Insurance
INS-EM22W1,,Insurance
INS-6Y9I04,Martinez-Burnett,Government
INS-9GXZWD,"Thomas, Blake and Harding",Insurance
INS-B5HMLE,"Richard, Floyd and Villanueva",Government
INS-8LW6JQ,Brooks-Johnson,Insurance
INS-MK6XCH,,Insurance
INS-W0G0D1,Henson Group,Insurance
INS-ED8Z2D,Walker-Bates,Insurance
INS-N6DLAT,Gonzalez Group,Government
INS-7EBOPS,Wood Inc,Government
INS-X28BLA,Day Group,Government
INS-452GDS,Brooks-Johnson,Insurance
INS-D24FPU,Walker-Bates,Insurance
INS-NBK9NP,Brooks-Johnson,Insurance
INS-YAB9DC,Brooks-Johnson,Insurance
INS-43V5YV,"Lopez, Johnson and Myers",Government
INS-41OWU7,Flores-Allen,Insurance
INS-FFUP08,Robbins Ltd,Government
INS-ZAUW0A,Flores-Allen,Government
INS-NOREG184,Flores-Allen,Government
INS-5PTT24,Jackson-Hubbard,Government
INS-OWW1IE,Gonzalez Group,Insurance
INS-5O62GU,Brooks-Johnson,Government
INS-B6CUHP,Day Group,Government
INS-8Q0WHP,Martinez-Burnett,Insurance
INS-ER4P4H,,Government
INS-3FA1HB,Flores-Allen,Insurance
INS-E7PY0T,Flores-Allen,Government
INS-OAB8GU,Walsh-Thomas,Government
INS-MLLCKW,Lee and Sons,Insurance
INS-VV48OG,Walker-Bates,Insurance
INS-H9D6H4,Lee and Sons,Insurance
INS-J602GU,"Smith, Cole and Rodgers",Government
INS-7PX9LF,"Anderson, Oconnell and Yates",Insurance
INS-P0ZBKZ,"Sanchez, Shaffer and Watson",Insurance
INS-DN49OX,"Richard, Floyd and Villanueva",Insurance
INS-TWJCIU,Walsh-Thomas,Government
INS-VG9H8E,Martinez-Burnett,Government
INS-NOREG185,,Self-pay
INS-NOREG186,Fowler-Smith,Government
INS-5K17RL,Walker-Bates,Insurance
INS-15OT9I,Wood Inc,Government
INS-OLNEFN,"Anderson, Oconnell and Yates",Government
INS-R65EOX,Jackson-Hubbard,Government
INS-EA0SPG,,Insurance
INS-6IA8B6,Wood Inc,Insurance
INS-NOREG187,Day Group,Government
INS-MHPDAI,"Anderson, Oconnell and Yates",Government
INS-NOREG188,Jackson-Hubbard,Insurance
INS-PEMB55,"Thomas, Blake and Harding",Government
INS-4EZZVX,"Thomas, Blake and Harding",Insurance
INS-6I3JPU,,Government
INS-OXRP3H,"Johnson, Mcintyre and Garrett",Insurance
INS-XN5FL5,Martinez-Burnett,Government
INS-3DMVZA,"Andrade, Gilbert and Cook",Insurance
INS-9983JT,Shaw-Jacobs,Insurance
INS-NOREG189,Wood Inc,Government
INS-NOREG190,,Self-pay
INS-MV996S,Shaw-Jacobs,Government
INS-BVMAAM,Day Group,Government
INS-3HQOPM,"Smith, Cole and Rodgers",Insurance
INS-66N9B2,"Smith, Cole and Rodgers",Government
INS-WRUPPB,"Anderson, Oconnell and Yates",Insurance
INS-RWAODX,Fowler-Smith,Insurance
INS-NOREG191,Walker-Bates,Insurance
INS-P6USTE,Jackson-Hubbard,Government
INS-YGTPRD,,Insurance
INS-KKSGW9,Jackson-Hubbard,Insurance
INS-F30ZAS,"Richard, Floyd and Villanueva",Insurance
INS-N3IF6T,Lee and Sons,Insurance
INS-3QUWFV,"Anderson, Oconnell and Yates",Insurance
INS-HAG646,Gonzalez Group,Government
INS-U6N51C,Walsh-Thomas,Government
INS-K3ZW9C,"Andrade, Gilbert and Cook",Insurance
INS-JCKSCI,Peterson-Williams,Government
INS-CTJNY0,Henson Group,Government
INS-9XSUK4,Shaw-Jacobs,Government
INS-XIAS38,Walsh-Thomas,Insurance
INS-NOREG192,,Self-pay
INS-D7Z3BY,Henson Group,Insurance
INS-NOREG193,Walker-Bates,Government
INS-X6PVR9,,Insurance
INS-71AKV2,"Johnson, Mcintyre and Garrett",Insurance
INS-VXONPX,Martinez-Burnett,Government
INS-YONCU0,Walsh-Thomas,Government
INS-B9S3DT,Fowler-Smith,Insurance
INS-GAJ4R3,Jackson-Hubbard,Government
INS-8FNF59,"Johnson, Mcintyre and Garrett",Government
INS-U18146,"Smith, Cole and Rodgers",Government
INS-47GHF4,Peterson-Williams,Insurance
INS-2CE7IW,Merritt-Flynn,Government
INS-E4EVHA,Merritt-Flynn,Government
INS-8OXAPV,Peterson-Williams,Insurance
INS-V2JTJF,Fowler-Smith,Insurance
INS-WPNLFI,"Sanchez, Shaffer and Watson",Insurance
INS-FVYSYL,,Insurance
INS-QO4UQE,"Lopez, Johnson and Myers",Insurance
INS-P08IQ1,"Thomas, Blake and Harding",Insurance
INS-HWYCC7,Walsh-Thomas,Insurance
INS-V14O4X,Shaw-Jacobs,Insurance
INS-NOREG194,,Self-pay
INS-IBT87A,Fowler-Smith,Insurance
INS-500J3I,Chang Inc,Government
INS-WE8VJY,"Lopez, Johnson and Myers",Government
INS-2O3KVA,"Smith, Cole and Rodgers",Government
INS-TEJTQ6,Walsh-Thomas,Insurance
INS-U8Y6TL,Shaw-Jacobs,Government
INS-BZYIZ6,Chang Inc,Insurance
INS-A2JALO,Walker-Bates,Government
INS-KPIXTX,"Thomas, Blake and Harding",Insurance
INS-GHC9D1,"Andrade, Gilbert and Cook",Insurance
INS-YFFWI3,"Sanchez, Shaffer and Watson",Government
INS-44A65C,Flores-Allen,Government
INS-45JXG7,"Anderson, Oconnell and Yates",Insurance
INS-HOVOFR,,Government
INS-VN4NP4,"Smith, Cole and Rodgers",Insurance
INS-DMQQPF,"Sanchez, Shaffer and Watson",Government
INS-H3CL5F,Brooks-Johnson,Government
INS-ASFW8A,Henson Group,Insurance
INS-M0MWAH,Merritt-Flynn,Government
INS-9LTIN9,"Anderson, Oconnell and Yates",Insurance
INS-BS9M6N,"Andrade, Gilbert and Cook",Government
INS-AC0EIA,"Sanchez, Shaffer and Watson",Insurance
INS-NOREG195,,Self-pay
INS-PLSCKF,"Thomas, Blake and Harding",Government
INS-4OWJ0R,Flores-Allen,Insurance
INS-PG5SBE,Day Group,Government
INS-R9FIU1,Robbins Ltd,Government
INS-MEWS56,"Andrade, Gilbert and Cook",Insurance
INS-59X59Y,Martinez-Burnett,Government
INS-ZYDO7R,"Lopez, Johnson and Myers",Government
INS-N391IW,Robbins Ltd,Insurance
INS-4OVEV8,Gonzalez Group,Government
INS-YL9TVP,"Johnson, Mcintyre and Garrett",Government
INS-SU8FX5,"Lopez, Johnson and Myers",Insurance
INS-NOREG196,Flores-Allen,Insurance
INS-NOREG197,Walsh-Thomas,Insurance
INS-VY03Q1,"Sanchez, Shaffer and Watson",Government
INS-N9E8YE,Henson Group,Insurance
INS-ACQMO6,"Andrade, Gilbert and Cook",Government
INS-VWKZLP,Walker-Bates,Government
INS-KK9M3J,Merritt-Flynn,Insurance
INS-NOREG198,,Self-pay
INS-NOREG199,Martinez-Burnett,Insurance
INS-PYZQWZ,"Richard, Floyd and Villanueva",Insurance
INS-NOREG200,,Insurance
INS-NOREG201,Fowler-Smith,Government
INS-FFL6EY,Henson Group,Insurance
INS-SINDZJ,Lee and Sons,Insurance
INS-15TFZK,Brooks-Johnson,Government
INS-GI3OFG,,Government
INS-EF7YJX,Walker-Bates,Government
INS-4YE6AC,Peterson-Williams,Insurance
INS-M0T1Q4,Gonzalez Group,Government
INS-M93GUC,Fowler-Smith,Insurance
INS-C8WYLF,Walsh-Thomas,Insurance
INS-X1JS08,Walsh-Thomas,Insurance
INS-JZHGOG,"Anderson, Oconnell and Yates",Government
INS-7WMPSD,"Smith, Cole and Rodgers",Government
INS-2RJSRQ,"Andrade, Gilbert and Cook",Government
INS-HA0YNN,Gonzalez Group,Government
INS-1GDYI9,,Insurance
INS-G85993,,Insurance
INS-EUTY92,Wood Inc,Insurance
INS-F5K2BI,"Smith, Cole and Rodgers",Insurance
INS-OSN2NV,Lee and Sons,Insurance
INS-MQ5HJH,"Smith, Cole and Rodgers",Government
INS-CBNNWD,"Richard, Floyd and Villanueva",Government
INS-ECYVNS,,Government
INS-KT6CM7,Walsh-Thomas,Insurance
INS-WNDKMS,Jackson-Hubbard,Government
INS-1LGCVQ,Shaw-Jacobs,Government
INS-921HN1,Chang Inc,Insurance
INS-KC3K0Z,Gonzalez Group,Government
INS-5PATXL,Robbins Ltd,Insurance
INS-KEEGPK,Lee and Sons,Insurance
INS-JSN9TC,Lee and Sons,Government
INS-GORYK0,Robbins Ltd,Insurance
INS-39OI8T,Martinez-Burnett,Government
INS-NY79YV,Day Group,Government
INS-XIVCGV,"Smith, Cole and Rodgers",Insurance
INS-MUYPFJ,"Richard, Floyd and Villanueva",Government
INS-NOREG202,,Government
INS-WAGVT1,Walsh-Thomas,Government
INS-W731AB,"Richard, Floyd and Villanueva",Insurance
INS-U523HV,Lee and Sons,Insurance
INS-PK9Y2U,Peterson-Williams,Insurance
INS-HE5W49,Jackson-Hubbard,Government
INS-5ISUR9,Day Group,Government
INS-MGHKT6,Henson Group,Government
INS-NOREG203,"Sanchez, Shaffer and Watson",Insurance
INS-L1XL98,Shaw-Jacobs,Insurance
INS-NOREG204,,Self-pay
INS-4EJKTC,Walker-Bates,Government
INS-NOREG205,Walker-Bates,Insurance
INS-EVNJU6,Gonzalez Group,Insurance
INS-5BCIN8,Peterson-Williams,Insurance
INS-JOMFHI,"Smith, Cole and Rodgers",Insurance
INS-YT4CDB,"Smith, Cole and Rodgers",Government
INS-4XEY6U,Shaw-Jacobs,Government
INS-NOREG206,,Self-pay
INS-ML3TQN,Lee and Sons,Government
INS-VJV6WL,Lee and Sons,Government
INS-KXP6DB,Jackson-Hubbard,Insurance
INS-20UTQW,"Lopez, Johnson and Myers",Government
INS-JSJKHH,Jackson-Hubbard,Government
INS-GXY2RF,Walker-Bates,Insurance
INS-RSUYGA,"Anderson, Oconnell and Yates",Government
INS-HK1GQP,,Government
INS-CTNLYA,"Lopez, Johnson and Myers",Government
INS-1GZBLK,Walker-Bates,Insurance
INS-SD8GEC,Merritt-Flynn,Government
INS-A82BGH,"Johnson, Mcintyre and Garrett",Government
INS-NDX0PF,,Government
INS-YWJENP,"Richard, Floyd and Villanueva",Insurance
INS-HZ5DT8,"Lopez, Johnson and Myers",Insurance
INS-S104U6,"Andrade, Gilbert and Cook",Insurance
INS-P1USMA,Fowler-Smith,Government
INS-EHZ0CQ,Merritt-Flynn,Government
INS-PTEPKV,Chang Inc,Government
INS-J42N4H,Chang Inc,Government
INS-MGCY0X,Robbins Ltd,Insurance
INS-1UE3AH,"Richard, Floyd and Villanueva",Government
INS-XFVHSV,"Smith, Cole and Rodgers",Insurance
INS-YHSC2W,"Smith, Cole and Rodgers",Government
INS-S1BMPS,Day Group,Government
INS-URPV9U,"Smith, Cole and Rodgers",Government
INS-TH0AI8,Wood Inc,Government
INS-03JNZR,Shaw-Jacobs,Government
INS-YSA7K1,"Sanchez, Shaffer and Watson",Government
INS-G8YEAX,Flores-Allen,Government
INS-RBFNWM,"Andrade, Gilbert and Cook",Insurance
